City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangai,59.3833,143.3,15.89,76,27,3.1,RU,1687913009
1,pangai,39.3558,-9.3811,20.72,93,1,7.96,PT,1687913148
2,pangai,-53.15,-70.9167,0.62,100,100,4.15,CL,1687912502
3,pangai,-23.1203,-134.9692,23.4,76,12,5.78,PF,1687912587
4,pangai,52.6333,29.7333,12.08,95,100,2.32,BY,1687913149
5,pangai,-38.2667,141.9667,10.91,76,100,5.51,AU,1687912656
6,pangai,-24.7911,-50.0119,11.75,90,0,1.63,BR,1687912623
7,pangai,-12.5763,13.4055,17.45,89,62,0.42,AO,1687913149
8,pangai,8.3233,-73.1489,19.19,96,27,1.18,CO,1687913149
9,pangai,-33.8667,121.9,12.78,71,97,5.23,AU,1687912589
10,pangai,-54.8,-68.3,-4.19,74,20,2.06,AR,1687912587
11,pangai,7.9803,49.8164,25.21,75,16,10.52,SO,1687913056
12,pangai,-33.918,25.5701,16.16,93,40,5.66,ZA,1687912588
13,pangai,-10.1667,123.5833,28.32,78,20,4.12,ID,1687912780
14,pangai,28.4532,117.9686,29.16,77,52,1.16,CN,1687913150
15,pangai,-9.8,-139.0333,26.56,71,4,11.57,PF,1687912591
16,pangai,66.0449,-17.3389,9.39,92,100,3.6,IS,1687913007
17,pangai,14.8961,-24.4956,24.1,80,5,3.51,CV,1687912598
18,pangai,77.484,-69.3632,6.39,70,100,2.64,GL,1687912607
19,pangai,28.3667,129.4833,27.51,80,100,3.62,JP,1687912613
20,pangai,-34.4187,19.2345,12.67,84,76,2.56,ZA,1687912604
21,pangai,50.3891,30.3705,17.31,88,100,4.41,UA,1687913151
22,pangai,-25.2667,23.2833,10.45,50,58,2.66,BW,1687913151
23,pangai,25.5198,90.2201,23.64,95,100,2.53,IN,1687913125
24,pangai,30.2366,-93.3774,33.11,77,0,5.66,US,1687913151
25,pangai,11.2725,-73.3091,26.51,89,63,1.88,CO,1687913152
26,pangai,-46.1927,168.8643,10.55,95,100,0.87,NZ,1687912589
27,pangai,59.617,52.4703,15.3,67,100,1.91,RU,1687912640
28,pangai,42.6001,-73.9662,22.47,82,100,3.16,US,1687912419
29,pangai,-33.65,115.3333,12.66,79,100,2.27,AU,1687912588
30,pangai,58.2093,-6.3865,12.98,89,100,2.57,GB,1687912635
31,pangai,12.1,75.2,24.87,92,100,1.66,IN,1687913152
32,pangai,55.7435,-97.8558,22.09,56,100,5.14,CA,1687912591
33,pangai,-0.7393,-90.3518,25.31,91,100,2.24,EC,1687912592
34,pangai,-33.9258,18.4232,12.83,91,75,1.03,ZA,1687912501
35,pangai,5.4112,100.3354,27.19,91,40,2.06,MY,1687912417
36,pangai,-14.4667,132.2667,25.18,73,66,3.6,AU,1687913153
37,pangai,-17.7333,-149.15,26.46,74,0,8.96,PF,1687913023
38,pangai,42.097,-79.2353,17.79,83,100,5.66,US,1687912546
39,pangai,22.6906,58.5334,26.72,73,100,3.47,OM,1687913153
40,pangai,-46.6,168.3333,11.34,89,100,3.47,NZ,1687912609
41,pangai,-28.5708,-70.7581,18.44,38,100,0.84,CL,1687913154
42,pangai,-21.2078,-159.775,27.03,83,100,4.12,CK,1687912343
43,pangai,-1.5843,14.2591,23.89,74,68,3.82,GA,1687913154
44,pangai,-10.0681,-78.1522,21.04,79,4,4.25,PE,1687913154
45,pangai,71.9167,114.0833,19.18,48,100,7.07,RU,1687912614
46,pangai,65.282,-126.8329,25.02,47,75,4.12,CA,1687912607
47,pangai,29.0605,-13.564,24.12,78,0,0.0,ES,1687913040
48,pangai,3.0833,-59.95,26.1,81,69,0.75,BR,1687913154
49,pangai,71.2906,-156.7887,7.01,81,75,3.6,US,1687912626
50,pangai,56.45,138.1667,10.1,96,100,1.02,RU,1687913048
51,pangai,28.7086,-82.0831,30.61,76,78,4.13,US,1687913155
52,pangai,47.6666,-52.7314,11.27,93,100,6.69,CA,1687912995
53,pangai,51.3813,1.3862,18.26,79,100,1.79,GB,1687912594
54,pangai,-25.4,-70.4833,17.2,72,5,2.42,CL,1687912658
55,pangai,54.7183,135.315,10.82,88,100,4.75,RU,1687912632
56,pangai,-34.0033,24.7314,14.38,91,100,2.04,ZA,1687912626
57,pangai,-41.8697,-73.8203,9.12,78,87,4.84,CL,1687913033
58,pangai,37.2707,-76.7075,27.69,82,75,0.89,US,1687913156
59,pangai,34.8791,-76.9013,27.98,84,0,4.12,US,1687913007
60,pangai,59.6425,-151.5483,12.09,72,100,0.0,US,1687913156
61,pangai,54.7682,-101.865,18.72,85,23,2.75,CA,1687913157
62,pangai,-45.4167,167.7167,8.12,96,100,1.15,NZ,1687912647
63,pangai,42.8,93.45,27.13,18,0,1.2,CN,1687912511
64,pangai,66.9395,-53.6735,3.96,88,49,3.79,GL,1687912597
65,pangai,7.7669,-72.225,24.1,96,16,1.16,VE,1687912624
66,pangai,-37.6167,-73.65,9.6,82,100,1.42,CL,1687912598
67,pangai,38.4167,77.2406,24.04,35,0,4.81,CN,1687912628
68,pangai,72.7868,-56.1549,1.46,97,100,5.49,GL,1687912607
69,pangai,-19.0595,-169.9187,27.94,78,40,5.66,NU,1687913049
70,pangai,19.7297,-155.09,27.38,81,100,3.6,US,1687912566
71,pangai,19.9333,-105.25,28.37,72,92,1.04,MX,1687913159
72,pangai,38.5167,-28.7,20.99,85,75,7.6,PT,1687912342
73,pangai,-22.6667,167.4833,20.76,60,49,8.43,NC,1687913160
74,pangai,62.456,-114.3525,24.29,41,75,4.12,CA,1687912501
75,pangai,-23.3156,-46.2214,16.84,75,0,1.29,BR,1687913161
76,pangai,71.6872,128.8694,5.52,76,100,3.5,RU,1687912612
77,pangai,-17.0,145.4333,25.82,68,1,3.19,AU,1687912605
78,pangai,20.5169,-13.0499,32.88,13,8,5.13,MR,1687912550
79,pangai,-21.3585,55.7679,19.77,74,64,5.1,RE,1687912602
80,pangai,21.3469,-158.0858,30.18,51,20,7.2,US,1687913161
81,pangai,-21.2,-175.2,24.08,73,0,12.16,TO,1687912610
82,pangai,-19.25,146.8,25.49,69,40,2.57,AU,1687913161
83,pangai,54.4299,31.8996,12.67,97,100,3.2,RU,1687913162
84,pangai,-33.0153,27.9116,17.39,82,100,10.96,ZA,1687912605
85,pangai,-17.7125,-39.2481,21.21,82,0,1.75,BR,1687912651
86,pangai,22.0752,-159.319,29.18,73,75,7.2,US,1687912597
87,pangai,59.7035,30.7861,14.95,77,98,1.3,RU,1687912617
88,pangai,-22.4961,-44.5633,16.73,67,0,1.3,BR,1687913162
89,pangai,35.308,51.7267,30.0,15,0,3.04,IR,1687913162
90,pangai,21.3156,-158.0072,30.97,51,20,7.2,US,1687913163
91,pangai,-33.5906,26.891,16.77,85,100,2.68,ZA,1687912593
92,pangai,57.2169,94.8978,16.04,55,4,4.3,RU,1687913163
93,pangai,32.834,-109.7076,41.51,8,0,9.26,US,1687913163
94,pangai,13.4317,-6.2157,29.98,55,92,4.96,ML,1687913163
95,pangai,59.5833,151.2833,13.99,83,36,3.19,RU,1687912642
96,pangai,21.4612,-71.1419,28.26,75,100,5.66,TC,1687912539
97,pangai,69.4865,88.3972,10.67,61,100,2.4,RU,1687912631
98,pangai,-46.2817,169.8464,10.76,95,100,3.62,NZ,1687912602
99,pangai,-15.1961,12.1522,15.29,66,4,2.16,AO,1687912531
100,pangai,-19.2333,17.7167,9.74,29,0,2.73,NA,1687913165
101,pangai,-34.5322,20.0403,10.72,95,28,1.36,ZA,1687912603
102,pangai,36.5,-5.75,24.31,54,0,2.34,ES,1687913166
103,pangai,73.5069,80.5464,0.16,88,15,4.91,RU,1687912639
104,pangai,9.3642,14.9046,23.15,84,33,1.77,TD,1687913166
105,pangai,28.017,-97.5169,33.63,64,0,6.58,US,1687913016
106,pangai,-23.8131,-47.7164,14.35,73,0,1.43,BR,1687913124
107,pangai,48.3835,-77.2328,14.04,99,100,4.59,CA,1687912993
108,pangai,-43.3002,-65.1023,8.19,63,98,2.15,AR,1687912475
